api_name,api,rate_limit,note
周/月线复权行情(每日更新),stk_week_month_adj,不限制,"限量：单次最大6000,可使用交易日期循环提取，总量不限制"
复权因子,adj_factor,未明确（建议按账户权限实测）,积分要求：2000积分起，5000以上可高频调取
实时Tick（爬虫）,realtime_quote,未明确（建议按账户权限实测）,权限：0积分完全开放，但需要有tushare账号，如果没有账号请先注册。
实时成交（爬虫）,realtime_tick,未明确（建议按账户权限实测）,权限：0积分完全开放，但需要有tushare账号，如果没有账号请先注册。
实时排名（爬虫）,realtime_list,未明确（建议按账户权限实测）,权限：0积分完全开放，但需要有tushare账号，如果没有账号请先注册。
每日指标,daily_basic,未明确（建议按账户权限实测）,积分：至少2000积分才可以调取，5000积分无总量限制，具体请参阅积分获取办法
每日涨跌停价格,stk_limit,不限制,限量：单次最多提取5800条记录，可循环调取，总量不限制
每日停复牌信息,suspend_d,未明确（建议按账户权限实测）,未提取到权限说明，可打开文档页人工确认。
港股通每日成交统计,ggt_daily,不限制,限量：单次最大1000，总量数据不限制
港股通每月成交统计,ggt_monthly,未明确（建议按账户权限实测）,积分：用户积5000积分可调取，请自行提高积分，具体请参阅积分获取办法
备用行情,bak_daily,未明确（建议按账户权限实测）,文档抓取失败：curl fallback failed: code=28 stderr=curl: (28) Connection timed out after 3010 milliseconds; urllib_error=<urlopen error _ssl.c:1063: The handshake operation timed out>
利润表,income,未明确（建议按账户权限实测）,文档抓取失败：curl fallback failed: code=28 stderr=curl: (28) Connection timed out after 3003 milliseconds; urllib_error=<urlopen error _ssl.c:1063: The handshake operation timed out>
资产负债表,balancesheet,未明确（建议按账户权限实测）,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法
现金流量表,cashflow,未明确（建议按账户权限实测）,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法
业绩预告,forecast,未明确（建议按账户权限实测）,权限：用户需要至少2000积分才可以调取，具体请参阅积分获取办法
业绩快报,express,未明确（建议按账户权限实测）,权限：用户需要至少2000积分才可以调取，具体请参阅积分获取办法
分红送股数据,dividend,未明确（建议按账户权限实测）,权限：用户需要至少2000积分才可以调取，具体请参阅积分获取办法
财务指标数据,fina_indicator,未明确（建议按账户权限实测）,权限：用户需要至少2000积分才可以调取，具体请参阅积分获取办法
财务审计意见,fina_audit,未明确（建议按账户权限实测）,权限：用户需要至少500积分才可以调取，具体请参阅积分获取办法
主营业务构成,fina_mainbz,不限制,权限：用户需要至少2000积分才可以调取，具体请参阅积分获取办法 ，单次最大提取100行，总量不限制，可循环获取。
财报披露日期表,disclosure_date,不限制,限量：单次最大3000，总量不限制
股权质押统计数据,pledge_stat,未明确（建议按账户权限实测）,积分：用户需要至少500积分才可以调取，具体请参阅积分获取办法
股权质押明细数据,pledge_detail,未明确（建议按账户权限实测）,积分：用户需要至少500积分才可以调取，具体请参阅积分获取办法
股票回购,repurchase,未明确（建议按账户权限实测）,积分：用户需要至少600积分才可以调取，具体请参阅积分获取办法
限售股解禁,share_float,不限制,限量：单次最大6000条，总量不限制
大宗交易,block_trade,未明确（建议按账户权限实测）,文档抓取失败：curl fallback failed: code=28 stderr=curl: (28) Connection timed out after 3011 milliseconds; urllib_error=<urlopen error _ssl.c:1063: The handshake operation timed out>
股票开户数据（停）,stk_account,未明确（建议按账户权限实测）,积分：600积分可调取，具体请参阅积分获取办法
股票开户数据（旧）,stk_account_old,未明确（建议按账户权限实测）,积分：600积分可调取，具体请参阅积分获取办法
股东人数,stk_holdernumber,不限制,"限量：单次最大3000,总量不限制"
股东增减持,stk_holdertrade,不限制,限量：单次最大提取3000行记录，总量不限制
券商盈利预测数据,report_rc,每天10次,权限：本接口120积分可以试用，每天10次请求，正式权限需8000积分，每天可请求100000次，10000积分以上无总量限制。
每日筹码及胜率,cyq_perf,每天20000次,积分：5000积分每天20000次，10000积分每天200000次，15000积分每天不限总量
每日筹码分布,cyq_chips,每天20000次,积分：5000积分每天20000次，10000积分每天200000次，15000积分每天不限总量
股票技术面因子(专业版）,stk_factor_pro,每分钟可以请求30次,限量：单次调取最多返回10000条数据，可以通过日期参数循环
中央结算系统持股统计,ccass_hold,每分钟可以请求300次,积分：用户120积分可以试用看数据，5000积分每分钟可以请求300次，8000积分以上可以请求500次每分钟，具体请参阅积分获取办法
中央结算系统持股明细,ccass_hold_detail,每分钟可以请求300次,积分：用户积8000积分可调取，每分钟可以请求300次
沪深股通持股明细,hk_hold,不限制,限量：单次最多提取3800条记录，可循环调取，总量不限制
股票开盘集合竞价数据,stk_auction_o,未明确（建议按账户权限实测）,权限：开通了股票分钟权限后可获得本接口权限，具体参考权限说明
股票收盘集合竞价数据,stk_auction_c,未明确（建议按账户权限实测）,权限：开通了股票分钟权限后可获得本接口权限，具体参考权限说明
神奇九转指标,stk_nineturn,未明确（建议按账户权限实测）,权限：达到6000积分可以调用
AH股比价,stk_ah_comparison,未明确（建议按账户权限实测）,权限：5000积分起
机构调研数据,stk_surv,未明确（建议按账户权限实测）,积分：用户积5000积分可使用
券商月度金股,broker_recommend,未明确（建议按账户权限实测）,积分：积分达到6000即可调用，具体请参阅积分获取办法
融资融券交易汇总,margin,未明确（建议按账户权限实测）,权限：2000积分可获得本接口权限，积分越高权限越大，具体参考权限说明
融资融券交易明细,margin_detail,未明确（建议按账户权限实测）,权限：2000积分可获得本接口权限，积分越高权限越大，具体参考权限说明
融资融券标的（盘前）,margin_secs,未明确（建议按账户权限实测）,积分：2000积分可调取，5000积分无总量限制，积分越高权限越大，具体参考权限说明
转融券交易汇总(停）,slb_sec,每分钟请求200次,积分：2000积分每分钟请求200次，5000积分500次请求
转融资交易汇总,slb_len,每分钟请求200次,积分：2000积分每分钟请求200次，5000积分500次请求
转融券交易明细(停）,slb_sec_detail,每分钟请求200次,积分：2000积分每分钟请求200次，5000积分500次请求
做市借券交易汇总(停）,slb_len_mm,每分钟请求200次,积分：2000积分每分钟请求200次，5000积分500次请求
个股资金流向,moneyflow,不限制,限量：单次最大提取6000行记录，总量不限制
个股资金流向（THS）,moneyflow_ths,未明确（建议按账户权限实测）,积分：用户需要至少5000积分才可以调取，具体请参阅积分获取办法
个股资金流向（DC）,moneyflow_dc,未明确（建议按账户权限实测）,积分：用户需要至少5000积分才可以调取，具体请参阅积分获取办法
板块资金流向（THS),moneyflow_cnt_ths,未明确（建议按账户权限实测）,限量：单次最大可调取5000条数据，可以根据日期和代码循环提取全部数据
行业资金流向（THS）,moneyflow_ind_ths,未明确（建议按账户权限实测）,限量：单次最大可调取5000条数据，可以根据日期和代码循环提取全部数据
板块资金流向（DC）,moneyflow_ind_dc,未明确（建议按账户权限实测）,限量：单次最大可调取5000条数据，可以根据日期和代码循环提取全部数据
大盘资金流向（DC）,moneyflow_mkt_dc,未明确（建议按账户权限实测）,积分：120积分可试用，5000积分可正式调取，具体请参阅积分获取办法
沪深港通资金流向,moneyflow_hsgt,每日资金流向数据，每次,描述：获取沪股通、深股通、港股通每日资金流向数据，每次最多返回300条记录，总量不限制。
龙虎榜每日统计单,top_list,未明确（建议按账户权限实测）,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法
龙虎榜机构交易单,top_inst,未明确（建议按账户权限实测）,积分：用户需要至少5000积分才可以调取，具体请参阅积分获取办法
同花顺涨跌停榜单,limit_list_ths,未明确（建议按账户权限实测）,文档抓取失败：curl fallback failed: code=28 stderr=curl: (28) Connection timed out after 3009 milliseconds; urllib_error=<urlopen error _ssl.c:1063: The handshake operation timed out>
涨跌停和炸板数据,limit_list_d,每分钟可以请求200次,积分：5000积分每分钟可以请求200次每天总量1万次，8000积分以上每分钟500次每天总量不限制，具体请参阅积分获取办法
涨停股票连板天梯,limit_step,每分钟500次,积分：8000积分以上每分钟500次，每天总量不限制，具体请参阅积分获取办法
涨停最强板块统计,limit_cpt_list,每分钟500次,积分：8000积分以上每分钟500次，每天总量不限制，具体请参阅积分获取办法
同花顺行业概念板块,ths_index,未明确（建议按账户权限实测）,权限：本接口需有6000积分，单次最大返回5000行数据，一次可提取全部数据，请勿循环提取。
同花顺概念和行业指数行情,ths_daily,未明确（建议按账户权限实测）,限量：单次最大3000行数据（需6000积分），可根据指数代码、日期参数循环提取。
同花顺行业概念成分,ths_member,每分钟可调取200次,限量：用户积累6000积分可调取，每分钟可调取200次，可按概念板块代码循环提取所有成分
东方财富概念板块,dc_index,未明确（建议按账户权限实测）,权限：用户积累6000积分可调取，具体请参阅积分获取办法
东方财富概念成分,dc_member,未明确（建议按账户权限实测）,权限：用户积累6000积分可调取，具体请参阅积分获取办法
东财概念和行业指数行情,dc_daily,未明确（建议按账户权限实测）,权限：用户积累6000积分可调取，具体请参阅积分获取办法
开盘竞价成交（当日）,stk_auction,未明确（建议按账户权限实测）,积分：本接口是单独开权限的数据，已经开通了股票分钟权限的用户可自动获得本接口权限，单独申请权限请参考权限列表。
市场游资最全名录,hm_list,未明确（建议按账户权限实测）,积分：5000积分可以调取，积分获取办法请参阅积分获取办法
游资交易每日明细,hm_detail,不限制,限量：单次最多提取2000条记录，可循环调取，总量不限制
同花顺App热榜数,ths_hot,未明确（建议按账户权限实测）,积分：用户积6000积分可调取使用，积分获取办法请参阅积分获取办法
东方财富App热榜,dc_hot,未明确（建议按账户权限实测）,积分：用户积8000积分可调取使用，积分获取办法请参阅积分获取办法
通达信板块信息,tdx_index,未明确（建议按账户权限实测）,权限：用户积累6000积分可调取，具体请参阅积分获取办法
通达信板块成分,tdx_member,未明确（建议按账户权限实测）,权限：用户积累6000积分可调取，具体请参阅积分获取办法
通达信板块行情,tdx_daily,未明确（建议按账户权限实测）,权限：用户积累6000积分可调取，具体请参阅积分获取办法
榜单数据（开盘啦）,kpl_list,每分钟可以请求200次,积分：5000积分每分钟可以请求200次每天总量1万次，8000积分以上每分钟500次每天总量不限制，具体请参阅积分获取办法
题材数据（开盘啦）,kpl_concept,未明确（建议按账户权限实测）,积分：5000积分可提取数据，具体请参阅积分获取办法
ETF基本信息,etf_basic,未明确（建议按账户权限实测）,权限：用户积8000积分可调取，具体请参阅积分获取办法
ETF基准指数,etf_index,未明确（建议按账户权限实测）,权限：用户积累8000积分可调取，具体请参阅积分获取办法
ETF实时分钟,rt_min,未明确（建议按账户权限实测）,权限：正式权限请参阅 权限说明
ETF历史分钟,stk_mins,未明确（建议按账户权限实测）,权限：正式权限请参阅 权限说明
ETF实时日线,rt_etf_k,未明确（建议按账户权限实测）,积分：本接口是单独开权限的数据，单独申请权限请参考权限列表
ETF日线行情,fund_daily,不限制,限量：单次最大2000行记录，可以根据ETF代码和日期循环获取历史，总量不限制
ETF复权因子,fund_adj,不限制,限量：单次最大提取2000行记录，可循环提取，数据总量不限制
ETF份额规模,etf_share_size,未明确（建议按账户权限实测）,积分：需要8000积分可以调取，具体请参阅积分获取办法
指数基本信息,index_basic,未明确（建议按账户权限实测）,未提取到权限说明，可打开文档页人工确认。
指数日线行情,index_daily,未明确（建议按账户权限实测）,描述：获取指数每日行情，还可以通过bar接口获取。由于服务器压力，目前规则是单次调取最多取8000行记录，可以设置start和end日期补全。指数行情也可以通过通用行情接口获取数据．
指数实时日线,rt_idx_k,未明确（建议按账户权限实测）,积分：本接口是单独开权限的数据，单独申请权限请参考权限列表
指数实时分钟,rt_idx_min,未明确（建议按账户权限实测）,权限：正式权限请参阅 权限说明
指数周线行情,index_weekly,不限制,限量：单次最大1000行记录，可分批获取，总量不限制
指数历史分钟,idx_mins,未明确（建议按账户权限实测）,权限：需单独开权限，正式权限请参阅 权限说明 ，可以在线开通分钟权限。
指数月线行情,index_monthly,不限制,"限量：单次最大1000行记录,可多次获取,总量不限制"
指数成分和权重,index_weight,未明确（建议按账户权限实测）,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法
大盘指数每日指标,index_dailybasic,不限制,数据权限：用户需要至少400积分才可以调取，具体请参阅积分获取办法
申万行业分类,index_classify,未明确（建议按账户权限实测）,权限：用户需2000积分可以调取，具体请参阅积分获取办法
申万行业成分（分级）,index_member_all,不限制,限量：单次最大2000行，总量不限制
申万行业指数日行情,sw_daily,未明确（建议按账户权限实测）,限量：单次最大4000行数据，可通过指数代码和日期参数循环提取，5000积分可调取
申万实时行情,rt_sw_k,未明确（建议按账户权限实测）,积分：本接口是单独开权限的数据，单独申请权限请参考权限列表
中信行业成分,ci_index_member,不限制,限量：单次最大5000行，总量不限制
中信行业指数日行情,ci_daily,未明确（建议按账户权限实测）,积分：5000积分可调取，可通过指数代码和日期参数循环获取所有数据
国际主要指数,index_global,不限制,限量：单次最大提取4000行情数据，可循环获取，总量不限制
指数技术面因子(专业版),idx_factor_pro,每分钟可以请求30次,积分：5000积分每分钟可以请求30次，8000积分以上每分钟500次
沪深市场每日交易统计,daily_info,不限制,限量：单次最大4000，可循环获取，总量不限制
深圳市场每日交易情况,sz_daily_info,不限制,限量：单次最大2000，可循环获取，总量不限制
基金列表,fund_basic,未明确（建议按账户权限实测）,积分：用户需要2000积分才可以调取，单次最大可以提取15000条数据，5000积分以上权限更高，具体请参阅积分获取办法
基金管理人,fund_company,未明确（建议按账户权限实测）,积分：用户需要1500积分才可以调取，一次可以提取全部数据。具体请参阅积分获取办法
基金经理,fund_manager,未明确（建议按账户权限实测）,积分：用户有500积分可获取数据，2000积分以上可以提高访问频次
基金规模,fund_share,未明确（建议按账户权限实测）,积分：用户需要至少2000积分可以调取，5000积分以上频次较高，具体请参阅积分获取办法
基金净值,fund_nav,未明确（建议按账户权限实测）,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法
基金分红,fund_div,未明确（建议按账户权限实测）,积分：用户需要至少400积分才可以调取，具体请参阅积分获取办法
基金持仓,fund_portfolio,每分钟请求200次,积分：5000积分以上每分钟请求200次，8000积分以上每分钟请求500次，具体请参阅积分获取办法
基金技术面因子(专业版),fund_factor_pro,每分钟可以请求30次,积分：5000积分每分钟可以请求30次，8000积分以上每分钟500次
合约信息,fut_basic,未明确（建议按账户权限实测）,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法
交易日历,trade_cal,未明确（建议按账户权限实测）,积分：需2000积分才可以提取数据
日线行情,fut_daily,不限制,限量：单次最大2000条，总量不限制
期货周/月线行情(每日更新),fut_weekly_monthly,未明确（建议按账户权限实测）,频率week周，month月
历史分钟行情,ft_mins,未明确（建议按账户权限实测）,权限：120积分可以调取2次接口查看数据，正式权限请参阅 权限说明 。
实时分钟行情,rt_fut_min,每分钟可以请求500次,限量：每分钟可以请求500次，支持多个合约同时提取
仓单日报,fut_wsr,不限制,限量：单次最大1000，总量不限制
每日结算参数,fut_settle,不限制,限量：单次最大返回1600行数据，可根据日期循环，总量不限制
每日持仓排名,fut_holding,不限制,限量：单次最大2000，总量不限制
南华期货指数行情,index_daily,未明确（建议按账户权限实测）,权限：用户需要累积2000积分才可以调取，具体请参阅积分获取办法
期货主力与连续合约,fut_mapping,不限制,限量：单次最大2000条，总量不限制
期货主要品种交易周报,fut_weekly_detail,未明确（建议按账户权限实测）,权限：600积分可调取，单次最大获取4000行数据，积分越高频次越高，5000积分以上正常调取不受限制
期货合约涨跌停价格,ft_limit,未明确（建议按账户权限实测）,积分：用户积5000积分可调取，积分获取方法具体请参阅积分获取办法
上海黄金基础信息,sge_basic,未明确（建议按账户权限实测）,积分：用户积5000积分可以调取，具体请参阅积分获取办法
上海黄金现货日行情,sge_daily,未明确（建议按账户权限实测）,积分：用户积2000积分可调取，具体请参阅积分获取办法
期权合约信息,opt_basic,未明确（建议按账户权限实测）,文档抓取失败：curl fallback failed: code=28 stderr=curl: (28) Connection timed out after 3010 milliseconds; urllib_error=<urlopen error _ssl.c:1063: The handshake operation timed out>
期权日线行情,opt_daily,不限制,限量：单次最大15000条数据，可跟进日线或者代码循环，总量不限制
期权分钟行情,opt_mins,未明确（建议按账户权限实测）,权限：120积分可以调取2次接口查看数据，正式权限请参阅 权限说明 。
可转债基础信息,cb_basic,不限制,限量：单次最大2000，总量不限制
可转债发行,cb_issue,不限制,限量：单次最大2000，可多次提取，总量不限制
可转债赎回信息,cb_call,未明确（建议按账户权限实测）,限量：单次最大2000条数据，可以根据日期循环提取，本接口需5000积分。
可转债票面利率,cb_rate,不限制,限量：单次最大2000，总量不限制
可转债行情,cb_daily,不限制,限量：单次最大2000条，可多次提取，总量不限制
可转债技术面因子(专业版）,cb_factor_pro,每分钟可以请求30次,限量：单次调取最多返回10000条数据，可以通过日期参数循环
可转债转股价变动,cb_price_chg,不限制,限量：单次最大2000，总量不限制
可转债转股结果,cb_share,不限制,限量：单次最大2000，总量不限制
债券回购日行情,repo_daily,不限制,限量：单次最大2000条，可多次提取，总量不限制
柜台流通式债券报价,bc_otcqt,不限制,限量：单次最大2000条，可多次提取，总量不限制
柜台流通式债券最优报价,bc_bestotcqt,不限制,限量：单次最大2000，可多次提取，总量不限制
大宗交易,bond_blk,不限制,权限：用户满5000积分有数据权限，单次最大1000条，可根据日期循环提取，总量不限制
大宗交易明细,bond_blk_detail,不限制,权限：用户满5000积分有数据权限，单次最大1000条，可根据日期循环提取，总量不限制
国债收益率曲线,yc_cb,不限制,限量：单次最大2000，总量不限制，可循环提取
全球财经事件,eco_cal,未明确（建议按账户权限实测）,积分：2000积分可调取
外汇基础信息（海外）,fx_obasic,未明确（建议按账户权限实测）,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法
外汇日线行情,fx_daily,不限制,限量：单次最大提取1000行记录，可多次提取，总量不限制
港股基础信息,hk_basic,未明确（建议按账户权限实测）,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法
港股交易日历,hk_tradecal,未明确（建议按账户权限实测）,权限：用户积累2000积分才可调取
港股日线行情,hk_daily,未明确（建议按账户权限实测）,文档抓取失败：curl fallback failed: code=28 stderr=curl: (28) Connection timed out after 3009 milliseconds; urllib_error=<urlopen error _ssl.c:1063: The handshake operation timed out>
港股复权行情,hk_daily_adj,未明确（建议按账户权限实测）,要求：120积分可以试用查看数据，开通正式权限请参考权限说明文档
港股复权因子,hk_adjfactor,未明确（建议按账户权限实测）,权限：本接口是在开通港股日线权限后自动获取权限，权限请参考权限说明文档
港股分钟行情,hk_mins,未明确（建议按账户权限实测）,权限：120积分可以调取2次接口查看数据，正式权限请参阅 权限说明 。
港股实时日线,rt_hk_k,未明确（建议按账户权限实测）,积分：本接口是单独开权限的数据，单独申请权限请参考权限列表
港股利润表,hk_income,未明确（建议按账户权限实测）,权限：需单独开权限或有15000积分，具体权限信息请参考权限列表
港股资产负债表,hk_balancesheet,未明确（建议按账户权限实测）,权限：需单独开权限或有15000积分，具体权限信息请参考权限列表
港股现金流量表,hk_cashflow,未明确（建议按账户权限实测）,权限：需单独开权限或有15000积分，具体权限信息请参考权限列表
港股财务指标数据,hk_fina_indicator,未明确（建议按账户权限实测）,权限：需单独开权限或有15000积分，具体权限信息请参考权限列表
美股基础信息,us_basic,未明确（建议按账户权限实测）,积分：120积分可以试用，5000积分有正式权限
美股交易日历,us_tradecal,未明确（建议按账户权限实测）,文档抓取失败：curl fallback failed: code=28 stderr=curl: (28) Connection timed out after 3008 milliseconds; urllib_error=<urlopen error _ssl.c:1063: The handshake operation timed out>
美股日线行情,us_daily,未明确（建议按账户权限实测）,限量：单次最大6000行数据，可根据日期参数循环提取，开通正式权限后也可支持分页提取全部历史
美股复权行情,us_daily_adj,未明确（建议按账户权限实测）,要求：120积分可以试用查看数据，开通正式权限请参考权限说明文档
美股复权因子,us_adjfactor,未明确（建议按账户权限实测）,权限：本接口是在开通美股日线权限后自动获取权限，权限请参考权限说明文档
美股利润表,us_income,未明确（建议按账户权限实测）,权限：需单独开权限或有15000积分，具体权限信息请参考权限列表
美股资产负债表,us_balancesheet,未明确（建议按账户权限实测）,权限：需单独开权限或有15000积分，具体权限信息请参考权限列表
美股现金流量表,us_cashflow,未明确（建议按账户权限实测）,权限：需单独开权限或有15000积分，具体权限信息请参考权限列表
美股财务指标数据,us_fina_indicator,未明确（建议按账户权限实测）,权限：需单独开权限或有15000积分，具体权限信息请参考权限列表
台湾电子产业月营收,tmt_twincome,未明确（建议按账户权限实测）,未提取到权限说明，可打开文档页人工确认。
台湾电子产业月营收明细,tmt_twincomedetail,未明确（建议按账户权限实测）,未提取到权限说明，可打开文档页人工确认。
电影月度票房,bo_monthly,未明确（建议按账户权限实测）,数据权限：用户需要至少500积分才可以调取，具体请参阅积分获取办法
电影周度票房,bo_weekly,未明确（建议按账户权限实测）,数据权限：用户需要至少500积分才可以调取，具体请参阅积分获取办法
电影日度票房,bo_daily,未明确（建议按账户权限实测）,数据权限：用户需要至少500积分才可以调取，具体请参阅积分获取办法
影院日度票房,bo_cinema,未明确（建议按账户权限实测）,数据权限：用户需要至少500积分才可以调取，具体请参阅积分获取办法
全国电影剧本备案数据,film_record,不限制,限量：单次最大500，总量不限制
全国电视剧备案公示数据,teleplay_record,不限制,限量：单次最大1000，总量不限制
Shibor利率,shibor,不限制,限量：单次最大2000，总量不限制，可通过设置开始和结束日期分段获取
Shibor报价数据,shibor_quote,不限制,限量：单次最大4000行数据，总量不限制，可通过设置开始和结束日期分段获取
LPR贷款基础利率,shibor_lpr,不限制,限量：单次最大4000(相当于单次可提取18年历史)，总量不限制，可通过设置开始和结束日期分段获取
Libor利率,libor,不限制,限量：单次最大4000行数据，总量不限制，可通过设置开始和结束日期分段获取
Hibor利率,hibor,不限制,限量：单次最大4000行数据，总量不限制，可通过设置开始和结束日期分段获取
温州民间借贷利率,wz_index,未明确（建议按账户权限实测）,积分：用户需要积攒2000积分可调取，具体请参阅积分获取办法
广州民间借贷利率,gz_index,未明确（建议按账户权限实测）,积分：用户需要积攒2000积分可调取，具体请参阅积分获取办法
国内生产总值（GDP）,cn_gdp,未明确（建议按账户权限实测）,权限：用户积累600积分可以使用，具体请参阅积分获取办法
居民消费价格指数（CPI）,cn_cpi,未明确（建议按账户权限实测）,权限：用户积累600积分可以使用，具体请参阅积分获取办法
工业生产者出厂价格指数（PPI）,cn_ppi,未明确（建议按账户权限实测）,权限：用户600积分可以使用，具体请参阅积分获取办法
货币供应量（月）,cn_m,未明确（建议按账户权限实测）,权限：用户积累600积分可以使用，具体请参阅积分获取办法
社融增量（月度）,sf_month,未明确（建议按账户权限实测）,积分：需2000积分
采购经理指数（PMI）,cn_pmi,未明确（建议按账户权限实测）,权限：用户积累2000积分可以使用，具体请参阅积分获取办法
国债收益率曲线利率,us_tycr,未明确（建议按账户权限实测）,权限：用户积累120积分可以使用，积分越高频次越高。具体请参阅积分获取办法
国债实际收益率曲线利率,us_trycr,未明确（建议按账户权限实测）,权限：用户积累120积分可以使用，积分越高频次越高。具体请参阅积分获取办法
短期国债利率,us_tbr,未明确（建议按账户权限实测）,权限：用户积累120积分可以使用，积分越高频次越高。具体请参阅积分获取办法
国债长期利率,us_tltr,未明确（建议按账户权限实测）,权限：用户积累120积分可以使用，积分越高频次越高。具体请参阅积分获取办法
国债长期利率平均值,us_trltr,未明确（建议按账户权限实测）,权限：用户积累120积分可以使用，积分越高频次越高。具体请参阅积分获取办法
国家政策库,npr,未明确（建议按账户权限实测）,积分：本接口需单独开权限（跟积分没关系），具体请参阅权限说明
券商研究报告,research_report,不限制,限量：单次最大1000条，可根据日期或券商名称代码循环提取，每天总量不限制
新闻快讯（短讯）,news,未明确（建议按账户权限实测）,积分：本接口需单独开权限（跟积分没关系），具体请参阅权限说明
新闻通讯（长篇）,major_news,未明确（建议按账户权限实测）,积分：本接口需单独开权限（跟积分没关系），具体请参阅权限说明
新闻联播文字稿,cctv_news,不限制,限量：可根据日期参数循环提取，总量不限制
上市公司公告,anns_d,未明确（建议按账户权限实测）,权限：本接口为单独权限，请参考权限说明
上证e互动问答,irm_qa_sh,未明确（建议按账户权限实测）,权限：用户后120积分可以试用，正式权限为10000积分，或申请单独开权限，请参考权限说明
深证易互动问答,irm_qa_sz,未明确（建议按账户权限实测）,权限：用户后120积分可以试用，正式权限为10000积分，或申请单独开权限，请参考权限说明
各渠道公募基金销售保有规模占比,fund_sales_ratio,未明确（建议按账户权限实测）,未提取到权限说明，可打开文档页人工确认。
销售机构公募基金销售保有规模,fund_sales_vol,未明确（建议按账户权限实测）,未提取到权限说明，可打开文档页人工确认。
