group,api,label,path,reason
historical,dc_index,东方财富概念板块,股票数据/打板专题数据/东方财富概念板块,time-series/event dataset suitable for local historical storage
historical,dc_member,东方财富概念成分,股票数据/打板专题数据/东方财富概念成分,time-series/event dataset suitable for local historical storage
historical,dc_daily,东财概念和行业指数行情,股票数据/打板专题数据/东财概念和行业指数行情,time-series/event dataset suitable for local historical storage
realtime,stk_auction,开盘竞价成交（当日）,股票数据/打板专题数据/开盘竞价成交（当日）,label/api indicates real-time data
master,hm_list,市场游资最全名录,股票数据/打板专题数据/市场游资最全名录,label/path indicates dictionary or reference metadata
historical,hm_detail,游资交易每日明细,股票数据/打板专题数据/游资交易每日明细,time-series/event dataset suitable for local historical storage
historical,ths_hot,同花顺App热榜数,股票数据/打板专题数据/同花顺App热榜数,time-series/event dataset suitable for local historical storage
historical,dc_hot,东方财富App热榜,股票数据/打板专题数据/东方财富App热榜,time-series/event dataset suitable for local historical storage
historical,tdx_index,通达信板块信息,股票数据/打板专题数据/通达信板块信息,time-series/event dataset suitable for local historical storage
historical,tdx_member,通达信板块成分,股票数据/打板专题数据/通达信板块成分,time-series/event dataset suitable for local historical storage
historical,tdx_daily,通达信板块行情,股票数据/打板专题数据/通达信板块行情,time-series/event dataset suitable for local historical storage
historical,kpl_list,榜单数据（开盘啦）,股票数据/打板专题数据/榜单数据（开盘啦）,time-series/event dataset suitable for local historical storage
historical,kpl_concept,题材数据（开盘啦）,股票数据/打板专题数据/题材数据（开盘啦）,time-series/event dataset suitable for local historical storage
master,etf_basic,ETF基本信息,ETF专题/ETF基本信息,label/path indicates dictionary or reference metadata
master,etf_index,ETF基准指数,ETF专题/ETF基准指数,fallback to master/reference
realtime,rt_min,ETF实时分钟,ETF专题/ETF实时分钟,label/api indicates real-time data
historical,stk_mins,ETF历史分钟,ETF专题/ETF历史分钟,time-series/event dataset suitable for local historical storage
realtime,rt_etf_k,ETF实时日线,ETF专题/ETF实时日线,label/api indicates real-time data
historical,fund_daily,ETF日线行情,ETF专题/ETF日线行情,time-series/event dataset suitable for local historical storage
master,fund_adj,ETF复权因子,ETF专题/ETF复权因子,fallback to master/reference
historical,etf_share_size,ETF份额规模,ETF专题/ETF份额规模,time-series/event dataset suitable for local historical storage
master,index_basic,指数基本信息,指数专题/指数基本信息,label/path indicates dictionary or reference metadata
historical,index_daily,指数日线行情,指数专题/指数日线行情,time-series/event dataset suitable for local historical storage
realtime,rt_idx_k,指数实时日线,指数专题/指数实时日线,label/api indicates real-time data
realtime,rt_idx_min,指数实时分钟,指数专题/指数实时分钟,label/api indicates real-time data
historical,index_weekly,指数周线行情,指数专题/指数周线行情,time-series/event dataset suitable for local historical storage
historical,idx_mins,指数历史分钟,指数专题/指数历史分钟,time-series/event dataset suitable for local historical storage
historical,index_monthly,指数月线行情,指数专题/指数月线行情,time-series/event dataset suitable for local historical storage
historical,index_weight,指数成分和权重,指数专题/指数成分和权重,time-series/event dataset suitable for local historical storage
historical,index_dailybasic,大盘指数每日指标,指数专题/大盘指数每日指标,time-series/event dataset suitable for local historical storage
master,index_classify,申万行业分类,指数专题/申万行业分类,label/path indicates dictionary or reference metadata
historical,index_member_all,申万行业成分（分级）,指数专题/申万行业成分（分级）,time-series/event dataset suitable for local historical storage
historical,sw_daily,申万行业指数日行情,指数专题/申万行业指数日行情,time-series/event dataset suitable for local historical storage
realtime,rt_sw_k,申万实时行情,指数专题/申万实时行情,label/api indicates real-time data
historical,ci_index_member,中信行业成分,指数专题/中信行业成分,time-series/event dataset suitable for local historical storage
historical,ci_daily,中信行业指数日行情,指数专题/中信行业指数日行情,time-series/event dataset suitable for local historical storage
historical,index_global,国际主要指数,指数专题/国际主要指数,time-series/event dataset suitable for local historical storage
historical,idx_factor_pro,指数技术面因子(专业版),指数专题/指数技术面因子(专业版),time-series/event dataset suitable for local historical storage
historical,daily_info,沪深市场每日交易统计,指数专题/沪深市场每日交易统计,time-series/event dataset suitable for local historical storage
historical,sz_daily_info,深圳市场每日交易情况,指数专题/深圳市场每日交易情况,time-series/event dataset suitable for local historical storage
master,fund_basic,基金列表,公募基金/基金列表,label/path indicates dictionary or reference metadata
master,fund_company,基金管理人,公募基金/基金管理人,label/path indicates dictionary or reference metadata
master,fund_manager,基金经理,公募基金/基金经理,label/path indicates dictionary or reference metadata
historical,fund_share,基金规模,公募基金/基金规模,time-series/event dataset suitable for local historical storage
historical,fund_nav,基金净值,公募基金/基金净值,time-series/event dataset suitable for local historical storage
historical,fund_div,基金分红,公募基金/基金分红,time-series/event dataset suitable for local historical storage
historical,fund_portfolio,基金持仓,公募基金/基金持仓,time-series/event dataset suitable for local historical storage
historical,fund_factor_pro,基金技术面因子(专业版),公募基金/基金技术面因子(专业版),time-series/event dataset suitable for local historical storage
master,fut_basic,合约信息,期货数据/合约信息,label/path indicates dictionary or reference metadata
historical,trade_cal,交易日历,期货数据/交易日历,time-series/event dataset suitable for local historical storage
historical,fut_daily,日线行情,期货数据/日线行情,time-series/event dataset suitable for local historical storage
historical,fut_weekly_monthly,期货周/月线行情(每日更新),期货数据/期货周/月线行情(每日更新),time-series/event dataset suitable for local historical storage
historical,ft_mins,历史分钟行情,期货数据/历史分钟行情,time-series/event dataset suitable for local historical storage
realtime,rt_fut_min,实时分钟行情,期货数据/实时分钟行情,label/api indicates real-time data
historical,fut_wsr,仓单日报,期货数据/仓单日报,time-series/event dataset suitable for local historical storage
historical,fut_settle,每日结算参数,期货数据/每日结算参数,time-series/event dataset suitable for local historical storage
historical,fut_holding,每日持仓排名,期货数据/每日持仓排名,time-series/event dataset suitable for local historical storage
historical,index_daily,南华期货指数行情,期货数据/南华期货指数行情,time-series/event dataset suitable for local historical storage
historical,fut_mapping,期货主力与连续合约,期货数据/期货主力与连续合约,time-series/event dataset suitable for local historical storage
historical,fut_weekly_detail,期货主要品种交易周报,期货数据/期货主要品种交易周报,time-series/event dataset suitable for local historical storage
historical,ft_limit,期货合约涨跌停价格,期货数据/期货合约涨跌停价格,time-series/event dataset suitable for local historical storage
historical,sge_basic,上海黄金基础信息,现货数据/上海黄金基础信息,time-series/event dataset suitable for local historical storage
historical,sge_daily,上海黄金现货日行情,现货数据/上海黄金现货日行情,time-series/event dataset suitable for local historical storage
master,opt_basic,期权合约信息,期权数据/期权合约信息,label/path indicates dictionary or reference metadata
historical,opt_daily,期权日线行情,期权数据/期权日线行情,time-series/event dataset suitable for local historical storage
historical,opt_mins,期权分钟行情,期权数据/期权分钟行情,time-series/event dataset suitable for local historical storage
historical,cb_basic,可转债基础信息,债券专题/可转债基础信息,time-series/event dataset suitable for local historical storage
historical,cb_issue,可转债发行,债券专题/可转债发行,time-series/event dataset suitable for local historical storage
historical,cb_call,可转债赎回信息,债券专题/可转债赎回信息,time-series/event dataset suitable for local historical storage
historical,cb_rate,可转债票面利率,债券专题/可转债票面利率,time-series/event dataset suitable for local historical storage
historical,cb_daily,可转债行情,债券专题/可转债行情,time-series/event dataset suitable for local historical storage
historical,cb_factor_pro,可转债技术面因子(专业版）,债券专题/可转债技术面因子(专业版）,time-series/event dataset suitable for local historical storage
historical,cb_price_chg,可转债转股价变动,债券专题/可转债转股价变动,time-series/event dataset suitable for local historical storage
historical,cb_share,可转债转股结果,债券专题/可转债转股结果,time-series/event dataset suitable for local historical storage
historical,repo_daily,债券回购日行情,债券专题/债券回购日行情,time-series/event dataset suitable for local historical storage
historical,bc_otcqt,柜台流通式债券报价,债券专题/柜台流通式债券报价,time-series/event dataset suitable for local historical storage
historical,bc_bestotcqt,柜台流通式债券最优报价,债券专题/柜台流通式债券最优报价,time-series/event dataset suitable for local historical storage
historical,bond_blk,大宗交易,债券专题/大宗交易,time-series/event dataset suitable for local historical storage
historical,bond_blk_detail,大宗交易明细,债券专题/大宗交易明细,time-series/event dataset suitable for local historical storage
historical,yc_cb,国债收益率曲线,债券专题/国债收益率曲线,time-series/event dataset suitable for local historical storage
historical,eco_cal,全球财经事件,债券专题/全球财经事件,time-series/event dataset suitable for local historical storage
historical,fx_obasic,外汇基础信息（海外）,外汇数据/外汇基础信息（海外）,time-series/event dataset suitable for local historical storage
historical,fx_daily,外汇日线行情,外汇数据/外汇日线行情,time-series/event dataset suitable for local historical storage
historical,hk_basic,港股基础信息,港股数据/港股基础信息,time-series/event dataset suitable for local historical storage
historical,hk_tradecal,港股交易日历,港股数据/港股交易日历,time-series/event dataset suitable for local historical storage
historical,hk_daily,港股日线行情,港股数据/港股日线行情,time-series/event dataset suitable for local historical storage
historical,hk_daily_adj,港股复权行情,港股数据/港股复权行情,time-series/event dataset suitable for local historical storage
historical,hk_adjfactor,港股复权因子,港股数据/港股复权因子,time-series/event dataset suitable for local historical storage
historical,hk_mins,港股分钟行情,港股数据/港股分钟行情,time-series/event dataset suitable for local historical storage
realtime,rt_hk_k,港股实时日线,港股数据/港股实时日线,label/api indicates real-time data
historical,hk_income,港股利润表,港股数据/港股利润表,time-series/event dataset suitable for local historical storage
historical,hk_balancesheet,港股资产负债表,港股数据/港股资产负债表,time-series/event dataset suitable for local historical storage
historical,hk_cashflow,港股现金流量表,港股数据/港股现金流量表,time-series/event dataset suitable for local historical storage
historical,hk_fina_indicator,港股财务指标数据,港股数据/港股财务指标数据,time-series/event dataset suitable for local historical storage
historical,us_basic,美股基础信息,美股数据/美股基础信息,time-series/event dataset suitable for local historical storage
historical,us_tradecal,美股交易日历,美股数据/美股交易日历,time-series/event dataset suitable for local historical storage
historical,us_daily,美股日线行情,美股数据/美股日线行情,time-series/event dataset suitable for local historical storage
historical,us_daily_adj,美股复权行情,美股数据/美股复权行情,time-series/event dataset suitable for local historical storage
historical,us_adjfactor,美股复权因子,美股数据/美股复权因子,time-series/event dataset suitable for local historical storage
historical,us_income,美股利润表,美股数据/美股利润表,time-series/event dataset suitable for local historical storage
historical,us_balancesheet,美股资产负债表,美股数据/美股资产负债表,time-series/event dataset suitable for local historical storage
historical,us_cashflow,美股现金流量表,美股数据/美股现金流量表,time-series/event dataset suitable for local historical storage
historical,us_fina_indicator,美股财务指标数据,美股数据/美股财务指标数据,time-series/event dataset suitable for local historical storage
master,tmt_twincome,台湾电子产业月营收,行业经济/TMT行业/台湾电子产业月营收,fallback to master/reference
historical,tmt_twincomedetail,台湾电子产业月营收明细,行业经济/TMT行业/台湾电子产业月营收明细,time-series/event dataset suitable for local historical storage
historical,bo_monthly,电影月度票房,行业经济/TMT行业/电影月度票房,time-series/event dataset suitable for local historical storage
historical,bo_weekly,电影周度票房,行业经济/TMT行业/电影周度票房,time-series/event dataset suitable for local historical storage
historical,bo_daily,电影日度票房,行业经济/TMT行业/电影日度票房,time-series/event dataset suitable for local historical storage
historical,bo_cinema,影院日度票房,行业经济/TMT行业/影院日度票房,time-series/event dataset suitable for local historical storage
historical,film_record,全国电影剧本备案数据,行业经济/TMT行业/全国电影剧本备案数据,time-series/event dataset suitable for local historical storage
historical,teleplay_record,全国电视剧备案公示数据,行业经济/TMT行业/全国电视剧备案公示数据,time-series/event dataset suitable for local historical storage
historical,shibor,Shibor利率,宏观经济/国内宏观/利率数据/Shibor利率,time-series/event dataset suitable for local historical storage
historical,shibor_quote,Shibor报价数据,宏观经济/国内宏观/利率数据/Shibor报价数据,time-series/event dataset suitable for local historical storage
historical,shibor_lpr,LPR贷款基础利率,宏观经济/国内宏观/利率数据/LPR贷款基础利率,time-series/event dataset suitable for local historical storage
historical,libor,Libor利率,宏观经济/国内宏观/利率数据/Libor利率,time-series/event dataset suitable for local historical storage
historical,hibor,Hibor利率,宏观经济/国内宏观/利率数据/Hibor利率,time-series/event dataset suitable for local historical storage
historical,wz_index,温州民间借贷利率,宏观经济/国内宏观/利率数据/温州民间借贷利率,time-series/event dataset suitable for local historical storage
historical,gz_index,广州民间借贷利率,宏观经济/国内宏观/利率数据/广州民间借贷利率,time-series/event dataset suitable for local historical storage
historical,cn_gdp,国内生产总值（GDP）,宏观经济/国内宏观/国民经济/国内生产总值（GDP）,time-series/event dataset suitable for local historical storage
historical,cn_cpi,居民消费价格指数（CPI）,宏观经济/国内宏观/价格指数/居民消费价格指数（CPI）,time-series/event dataset suitable for local historical storage
historical,cn_ppi,工业生产者出厂价格指数（PPI）,宏观经济/国内宏观/价格指数/工业生产者出厂价格指数（PPI）,time-series/event dataset suitable for local historical storage
historical,cn_m,货币供应量（月）,宏观经济/国内宏观/金融/货币供应量,time-series/event dataset suitable for local historical storage
historical,sf_month,社融增量（月度）,宏观经济/国内宏观/金融/社会融资,time-series/event dataset suitable for local historical storage
historical,cn_pmi,采购经理指数（PMI）,宏观经济/国内宏观/景气度/采购经理指数（PMI）,time-series/event dataset suitable for local historical storage
historical,us_tycr,国债收益率曲线利率,宏观经济/国际宏观/美国利率/国债收益率曲线利率,time-series/event dataset suitable for local historical storage
historical,us_trycr,国债实际收益率曲线利率,宏观经济/国际宏观/美国利率/国债实际收益率曲线利率,time-series/event dataset suitable for local historical storage
historical,us_tbr,短期国债利率,宏观经济/国际宏观/美国利率/短期国债利率,time-series/event dataset suitable for local historical storage
historical,us_tltr,国债长期利率,宏观经济/国际宏观/美国利率/国债长期利率,time-series/event dataset suitable for local historical storage
historical,us_trltr,国债长期利率平均值,宏观经济/国际宏观/美国利率/国债长期利率平均值,time-series/event dataset suitable for local historical storage
historical,npr,国家政策库,大模型语料专题数据/国家政策库,time-series/event dataset suitable for local historical storage
historical,research_report,券商研究报告,大模型语料专题数据/券商研究报告,time-series/event dataset suitable for local historical storage
historical,news,新闻快讯（短讯）,大模型语料专题数据/新闻快讯（短讯）,time-series/event dataset suitable for local historical storage
historical,major_news,新闻通讯（长篇）,大模型语料专题数据/新闻通讯（长篇）,time-series/event dataset suitable for local historical storage
historical,cctv_news,新闻联播文字稿,大模型语料专题数据/新闻联播文字稿,time-series/event dataset suitable for local historical storage
historical,anns_d,上市公司公告,大模型语料专题数据/上市公司公告,time-series/event dataset suitable for local historical storage
historical,irm_qa_sh,上证e互动问答,大模型语料专题数据/上证e互动问答,time-series/event dataset suitable for local historical storage
historical,irm_qa_sz,深证易互动问答,大模型语料专题数据/深证易互动问答,time-series/event dataset suitable for local historical storage
historical,fund_sales_ratio,各渠道公募基金销售保有规模占比,财富管理/基金销售行业数据/各渠道公募基金销售保有规模占比,time-series/event dataset suitable for local historical storage
historical,fund_sales_vol,销售机构公募基金销售保有规模,财富管理/基金销售行业数据/销售机构公募基金销售保有规模,time-series/event dataset suitable for local historical storage
