api,label,raw_relative_path,normalized_relative_path,exists,reason
pledge_stat,股权质押统计数据,股票数据/参考数据/股权质押统计数据,股票数据/参考数据/股权质押统计数据,1,
pledge_detail,股权质押明细数据,股票数据/参考数据/股权质押明细数据,股票数据/参考数据/股权质押明细数据,1,
repurchase,股票回购,股票数据/参考数据/股票回购,股票数据/参考数据/股票回购,1,
share_float,限售股解禁,股票数据/参考数据/限售股解禁,股票数据/参考数据/限售股解禁,1,
block_trade,大宗交易,股票数据/参考数据/大宗交易,股票数据/参考数据/大宗交易,1,
stk_account,股票开户数据（停）,股票数据/参考数据/股票开户数据（停）,股票数据/参考数据/股票开户数据（停）,1,
stk_account_old,股票开户数据（旧）,股票数据/参考数据/股票开户数据（旧）,股票数据/参考数据/股票开户数据（旧）,1,
stk_holdernumber,股东人数,股票数据/参考数据/股东人数,股票数据/参考数据/股东人数,1,
stk_holdertrade,股东增减持,股票数据/参考数据/股东增减持,股票数据/参考数据/股东增减持,1,
report_rc,券商盈利预测数据,股票数据/特色数据/券商盈利预测数据,股票数据/特色数据/券商盈利预测数据,1,
cyq_perf,每日筹码及胜率,股票数据/特色数据/每日筹码及胜率,股票数据/特色数据/每日筹码及胜率,1,
cyq_chips,每日筹码分布,股票数据/特色数据/每日筹码分布,股票数据/特色数据/每日筹码分布,1,
stk_factor_pro,股票技术面因子(专业版）,股票数据/特色数据/股票技术面因子(专业版）,股票数据/特色数据/股票技术面因子(专业版）,1,
ccass_hold,中央结算系统持股统计,股票数据/特色数据/中央结算系统持股统计,股票数据/特色数据/中央结算系统持股统计,1,
ccass_hold_detail,中央结算系统持股明细,股票数据/特色数据/中央结算系统持股明细,股票数据/特色数据/中央结算系统持股明细,1,
hk_hold,沪深股通持股明细,股票数据/特色数据/沪深股通持股明细,股票数据/特色数据/沪深股通持股明细,1,
stk_auction_o,股票开盘集合竞价数据,股票数据/特色数据/股票开盘集合竞价数据,股票数据/特色数据/股票开盘集合竞价数据,1,
stk_auction_c,股票收盘集合竞价数据,股票数据/特色数据/股票收盘集合竞价数据,股票数据/特色数据/股票收盘集合竞价数据,1,
stk_nineturn,神奇九转指标,股票数据/特色数据/神奇九转指标,股票数据/特色数据/神奇九转指标,1,
stk_ah_comparison,AH股比价,股票数据/特色数据/AH股比价,股票数据/特色数据/AH股比价,1,
stk_surv,机构调研数据,股票数据/特色数据/机构调研数据,股票数据/特色数据/机构调研数据,1,
broker_recommend,券商月度金股,股票数据/特色数据/券商月度金股,股票数据/特色数据/券商月度金股,1,
margin,融资融券交易汇总,股票数据/两融及转融通/融资融券交易汇总,股票数据/两融及转融通/融资融券交易汇总,1,
margin_detail,融资融券交易明细,股票数据/两融及转融通/融资融券交易明细,股票数据/两融及转融通/融资融券交易明细,1,
margin_secs,融资融券标的（盘前）,股票数据/两融及转融通/融资融券标的（盘前）,股票数据/两融及转融通/融资融券标的（盘前）,1,
slb_sec,转融券交易汇总(停）,股票数据/两融及转融通/转融券交易汇总(停）,股票数据/两融及转融通/转融券交易汇总(停）,1,
slb_len,转融资交易汇总,股票数据/两融及转融通/转融资交易汇总,股票数据/两融及转融通/转融资交易汇总,1,
slb_sec_detail,转融券交易明细(停）,股票数据/两融及转融通/转融券交易明细(停）,股票数据/两融及转融通/转融券交易明细(停）,1,
slb_len_mm,做市借券交易汇总(停）,股票数据/两融及转融通/做市借券交易汇总(停）,股票数据/两融及转融通/做市借券交易汇总(停）,1,
moneyflow,个股资金流向,股票数据/资金流向数据/个股资金流向,股票数据/资金流向数据/个股资金流向,1,
moneyflow_ths,个股资金流向（THS）,股票数据/资金流向数据/个股资金流向（THS）,股票数据/资金流向数据/个股资金流向（THS）,1,
moneyflow_dc,个股资金流向（DC）,股票数据/资金流向数据/个股资金流向（DC）,股票数据/资金流向数据/个股资金流向（DC）,1,
moneyflow_cnt_ths,板块资金流向（THS),股票数据/资金流向数据/板块资金流向（THS),股票数据/资金流向数据/板块资金流向（THS),1,
moneyflow_ind_ths,行业资金流向（THS）,股票数据/资金流向数据/行业资金流向（THS）,股票数据/资金流向数据/行业资金流向（THS）,1,
moneyflow_ind_dc,板块资金流向（DC）,股票数据/资金流向数据/板块资金流向（DC）,股票数据/资金流向数据/板块资金流向（DC）,1,
moneyflow_mkt_dc,大盘资金流向（DC）,股票数据/资金流向数据/大盘资金流向（DC）,股票数据/资金流向数据/大盘资金流向（DC）,1,
moneyflow_hsgt,沪深港通资金流向,股票数据/资金流向数据/沪深港通资金流向,股票数据/资金流向数据/沪深港通资金流向,1,
top_list,龙虎榜每日统计单,股票数据/打板专题数据/龙虎榜每日统计单,股票数据/打板专题数据/龙虎榜每日统计单,1,
top_inst,龙虎榜机构交易单,股票数据/打板专题数据/龙虎榜机构交易单,股票数据/打板专题数据/龙虎榜机构交易单,1,
limit_list_ths,同花顺涨跌停榜单,股票数据/打板专题数据/同花顺涨跌停榜单,股票数据/打板专题数据/同花顺涨跌停榜单,1,
limit_list_d,涨跌停和炸板数据,股票数据/打板专题数据/涨跌停和炸板数据,股票数据/打板专题数据/涨跌停和炸板数据,1,
limit_step,涨停股票连板天梯,股票数据/打板专题数据/涨停股票连板天梯,股票数据/打板专题数据/涨停股票连板天梯,1,
limit_cpt_list,涨停最强板块统计,股票数据/打板专题数据/涨停最强板块统计,股票数据/打板专题数据/涨停最强板块统计,1,
ths_index,同花顺行业概念板块,股票数据/打板专题数据/同花顺行业概念板块,股票数据/打板专题数据/同花顺行业概念板块,1,
ths_daily,同花顺概念和行业指数行情,股票数据/打板专题数据/同花顺概念和行业指数行情,股票数据/打板专题数据/同花顺概念和行业指数行情,1,
ths_member,同花顺行业概念成分,股票数据/打板专题数据/同花顺行业概念成分,股票数据/打板专题数据/同花顺行业概念成分,1,
dc_index,东方财富概念板块,股票数据/打板专题数据/东方财富概念板块,股票数据/打板专题数据/东方财富概念板块,1,
dc_member,东方财富概念成分,股票数据/打板专题数据/东方财富概念成分,股票数据/打板专题数据/东方财富概念成分,1,
dc_daily,东财概念和行业指数行情,股票数据/打板专题数据/东财概念和行业指数行情,股票数据/打板专题数据/东财概念和行业指数行情,1,
stk_auction,开盘竞价成交（当日）,股票数据/打板专题数据/开盘竞价成交（当日）,股票数据/打板专题数据/开盘竞价成交（当日）,1,
hm_list,市场游资最全名录,股票数据/打板专题数据/市场游资最全名录,股票数据/打板专题数据/市场游资最全名录,1,
hm_detail,游资交易每日明细,股票数据/打板专题数据/游资交易每日明细,股票数据/打板专题数据/游资交易每日明细,1,
ths_hot,同花顺App热榜数,股票数据/打板专题数据/同花顺App热榜数,股票数据/打板专题数据/同花顺App热榜数,1,
dc_hot,东方财富App热榜,股票数据/打板专题数据/东方财富App热榜,股票数据/打板专题数据/东方财富App热榜,1,
tdx_index,通达信板块信息,股票数据/打板专题数据/通达信板块信息,股票数据/打板专题数据/通达信板块信息,1,
tdx_member,通达信板块成分,股票数据/打板专题数据/通达信板块成分,股票数据/打板专题数据/通达信板块成分,1,
tdx_daily,通达信板块行情,股票数据/打板专题数据/通达信板块行情,股票数据/打板专题数据/通达信板块行情,1,
kpl_list,榜单数据（开盘啦）,股票数据/打板专题数据/榜单数据（开盘啦）,股票数据/打板专题数据/榜单数据（开盘啦）,1,
kpl_concept,题材数据（开盘啦）,股票数据/打板专题数据/题材数据（开盘啦）,股票数据/打板专题数据/题材数据（开盘啦）,1,
etf_basic,ETF基本信息,ETF专题/ETF基本信息,ETF专题/ETF基本信息,1,
etf_index,ETF基准指数,ETF专题/ETF基准指数,ETF专题/ETF基准指数,1,
rt_min,ETF实时分钟,ETF专题/ETF实时分钟,ETF专题/ETF实时分钟,1,
stk_mins,ETF历史分钟,ETF专题/ETF历史分钟,ETF专题/ETF历史分钟,1,
rt_etf_k,ETF实时日线,ETF专题/ETF实时日线,ETF专题/ETF实时日线,1,
fund_daily,ETF日线行情,ETF专题/ETF日线行情,ETF专题/ETF日线行情,1,
fund_adj,ETF复权因子,ETF专题/ETF复权因子,ETF专题/ETF复权因子,1,
etf_share_size,ETF份额规模,ETF专题/ETF份额规模,ETF专题/ETF份额规模,1,
index_basic,指数基本信息,指数专题/指数基本信息,指数专题/指数基本信息,1,
index_daily,指数日线行情,指数专题/指数日线行情,指数专题/指数日线行情,1,
rt_idx_k,指数实时日线,指数专题/指数实时日线,指数专题/指数实时日线,1,
rt_idx_min,指数实时分钟,指数专题/指数实时分钟,指数专题/指数实时分钟,1,
index_weekly,指数周线行情,指数专题/指数周线行情,指数专题/指数周线行情,1,
idx_mins,指数历史分钟,指数专题/指数历史分钟,指数专题/指数历史分钟,1,
index_monthly,指数月线行情,指数专题/指数月线行情,指数专题/指数月线行情,1,
index_weight,指数成分和权重,指数专题/指数成分和权重,指数专题/指数成分和权重,1,
index_dailybasic,大盘指数每日指标,指数专题/大盘指数每日指标,指数专题/大盘指数每日指标,1,
index_classify,申万行业分类,指数专题/申万行业分类,指数专题/申万行业分类,1,
index_member_all,申万行业成分（分级）,指数专题/申万行业成分（分级）,指数专题/申万行业成分（分级）,1,
sw_daily,申万行业指数日行情,指数专题/申万行业指数日行情,指数专题/申万行业指数日行情,1,
rt_sw_k,申万实时行情,指数专题/申万实时行情,指数专题/申万实时行情,1,
ci_index_member,中信行业成分,指数专题/中信行业成分,指数专题/中信行业成分,1,
ci_daily,中信行业指数日行情,指数专题/中信行业指数日行情,指数专题/中信行业指数日行情,1,
index_global,国际主要指数,指数专题/国际主要指数,指数专题/国际主要指数,1,
idx_factor_pro,指数技术面因子(专业版),指数专题/指数技术面因子(专业版),指数专题/指数技术面因子(专业版),1,
daily_info,沪深市场每日交易统计,指数专题/沪深市场每日交易统计,指数专题/沪深市场每日交易统计,1,
sz_daily_info,深圳市场每日交易情况,指数专题/深圳市场每日交易情况,指数专题/深圳市场每日交易情况,1,
fund_basic,基金列表,公募基金/基金列表,公募基金/基金列表,1,
fund_company,基金管理人,公募基金/基金管理人,公募基金/基金管理人,1,
fund_manager,基金经理,公募基金/基金经理,公募基金/基金经理,1,
fund_share,基金规模,公募基金/基金规模,公募基金/基金规模,1,
fund_nav,基金净值,公募基金/基金净值,公募基金/基金净值,1,
fund_div,基金分红,公募基金/基金分红,公募基金/基金分红,1,
fund_portfolio,基金持仓,公募基金/基金持仓,公募基金/基金持仓,1,
fund_factor_pro,基金技术面因子(专业版),公募基金/基金技术面因子(专业版),公募基金/基金技术面因子(专业版),1,
fut_basic,合约信息,期货数据/合约信息,期货数据/合约信息,1,
trade_cal,交易日历,期货数据/交易日历,期货数据/交易日历,1,
fut_daily,日线行情,期货数据/日线行情,期货数据/日线行情,1,
fut_weekly_monthly,期货周/月线行情(每日更新),期货数据/期货周/月线行情(每日更新),期货数据/期货周／月线行情(每日更新),1,normalized_for_filesystem
ft_mins,历史分钟行情,期货数据/历史分钟行情,期货数据/历史分钟行情,1,
rt_fut_min,实时分钟行情,期货数据/实时分钟行情,期货数据/实时分钟行情,1,
fut_wsr,仓单日报,期货数据/仓单日报,期货数据/仓单日报,1,
fut_settle,每日结算参数,期货数据/每日结算参数,期货数据/每日结算参数,1,
fut_holding,每日持仓排名,期货数据/每日持仓排名,期货数据/每日持仓排名,1,
index_daily,南华期货指数行情,期货数据/南华期货指数行情,期货数据/南华期货指数行情,1,
fut_mapping,期货主力与连续合约,期货数据/期货主力与连续合约,期货数据/期货主力与连续合约,1,
fut_weekly_detail,期货主要品种交易周报,期货数据/期货主要品种交易周报,期货数据/期货主要品种交易周报,1,
ft_limit,期货合约涨跌停价格,期货数据/期货合约涨跌停价格,期货数据/期货合约涨跌停价格,1,
sge_basic,上海黄金基础信息,现货数据/上海黄金基础信息,现货数据/上海黄金基础信息,1,
sge_daily,上海黄金现货日行情,现货数据/上海黄金现货日行情,现货数据/上海黄金现货日行情,1,
opt_basic,期权合约信息,期权数据/期权合约信息,期权数据/期权合约信息,1,
opt_daily,期权日线行情,期权数据/期权日线行情,期权数据/期权日线行情,1,
opt_mins,期权分钟行情,期权数据/期权分钟行情,期权数据/期权分钟行情,1,
cb_basic,可转债基础信息,债券专题/可转债基础信息,债券专题/可转债基础信息,1,
cb_issue,可转债发行,债券专题/可转债发行,债券专题/可转债发行,1,
cb_call,可转债赎回信息,债券专题/可转债赎回信息,债券专题/可转债赎回信息,1,
cb_rate,可转债票面利率,债券专题/可转债票面利率,债券专题/可转债票面利率,1,
cb_daily,可转债行情,债券专题/可转债行情,债券专题/可转债行情,1,
cb_factor_pro,可转债技术面因子(专业版）,债券专题/可转债技术面因子(专业版）,债券专题/可转债技术面因子(专业版）,1,
cb_price_chg,可转债转股价变动,债券专题/可转债转股价变动,债券专题/可转债转股价变动,1,
cb_share,可转债转股结果,债券专题/可转债转股结果,债券专题/可转债转股结果,1,
repo_daily,债券回购日行情,债券专题/债券回购日行情,债券专题/债券回购日行情,1,
bc_otcqt,柜台流通式债券报价,债券专题/柜台流通式债券报价,债券专题/柜台流通式债券报价,1,
bc_bestotcqt,柜台流通式债券最优报价,债券专题/柜台流通式债券最优报价,债券专题/柜台流通式债券最优报价,1,
bond_blk,大宗交易,债券专题/大宗交易,债券专题/大宗交易,1,
bond_blk_detail,大宗交易明细,债券专题/大宗交易明细,债券专题/大宗交易明细,1,
yc_cb,国债收益率曲线,债券专题/国债收益率曲线,债券专题/国债收益率曲线,1,
eco_cal,全球财经事件,债券专题/全球财经事件,债券专题/全球财经事件,1,
fx_obasic,外汇基础信息（海外）,外汇数据/外汇基础信息（海外）,外汇数据/外汇基础信息（海外）,1,
fx_daily,外汇日线行情,外汇数据/外汇日线行情,外汇数据/外汇日线行情,1,
hk_basic,港股基础信息,港股数据/港股基础信息,港股数据/港股基础信息,1,
hk_tradecal,港股交易日历,港股数据/港股交易日历,港股数据/港股交易日历,1,
hk_daily,港股日线行情,港股数据/港股日线行情,港股数据/港股日线行情,1,
hk_daily_adj,港股复权行情,港股数据/港股复权行情,港股数据/港股复权行情,1,
hk_adjfactor,港股复权因子,港股数据/港股复权因子,港股数据/港股复权因子,1,
hk_mins,港股分钟行情,港股数据/港股分钟行情,港股数据/港股分钟行情,1,
rt_hk_k,港股实时日线,港股数据/港股实时日线,港股数据/港股实时日线,1,
hk_income,港股利润表,港股数据/港股利润表,港股数据/港股利润表,1,
hk_balancesheet,港股资产负债表,港股数据/港股资产负债表,港股数据/港股资产负债表,1,
hk_cashflow,港股现金流量表,港股数据/港股现金流量表,港股数据/港股现金流量表,1,
hk_fina_indicator,港股财务指标数据,港股数据/港股财务指标数据,港股数据/港股财务指标数据,1,
us_basic,美股基础信息,美股数据/美股基础信息,美股数据/美股基础信息,1,
us_tradecal,美股交易日历,美股数据/美股交易日历,美股数据/美股交易日历,1,
us_daily,美股日线行情,美股数据/美股日线行情,美股数据/美股日线行情,1,
us_daily_adj,美股复权行情,美股数据/美股复权行情,美股数据/美股复权行情,1,
us_adjfactor,美股复权因子,美股数据/美股复权因子,美股数据/美股复权因子,1,
us_income,美股利润表,美股数据/美股利润表,美股数据/美股利润表,1,
us_balancesheet,美股资产负债表,美股数据/美股资产负债表,美股数据/美股资产负债表,1,
us_cashflow,美股现金流量表,美股数据/美股现金流量表,美股数据/美股现金流量表,1,
us_fina_indicator,美股财务指标数据,美股数据/美股财务指标数据,美股数据/美股财务指标数据,1,
tmt_twincome,台湾电子产业月营收,行业经济/TMT行业/台湾电子产业月营收,行业经济/TMT行业/台湾电子产业月营收,1,
tmt_twincomedetail,台湾电子产业月营收明细,行业经济/TMT行业/台湾电子产业月营收明细,行业经济/TMT行业/台湾电子产业月营收明细,1,
bo_monthly,电影月度票房,行业经济/TMT行业/电影月度票房,行业经济/TMT行业/电影月度票房,1,
bo_weekly,电影周度票房,行业经济/TMT行业/电影周度票房,行业经济/TMT行业/电影周度票房,1,
bo_daily,电影日度票房,行业经济/TMT行业/电影日度票房,行业经济/TMT行业/电影日度票房,1,
bo_cinema,影院日度票房,行业经济/TMT行业/影院日度票房,行业经济/TMT行业/影院日度票房,1,
film_record,全国电影剧本备案数据,行业经济/TMT行业/全国电影剧本备案数据,行业经济/TMT行业/全国电影剧本备案数据,1,
teleplay_record,全国电视剧备案公示数据,行业经济/TMT行业/全国电视剧备案公示数据,行业经济/TMT行业/全国电视剧备案公示数据,1,
shibor,Shibor利率,宏观经济/国内宏观/利率数据/Shibor利率,宏观经济/国内宏观/利率数据/Shibor利率,1,
shibor_quote,Shibor报价数据,宏观经济/国内宏观/利率数据/Shibor报价数据,宏观经济/国内宏观/利率数据/Shibor报价数据,1,
shibor_lpr,LPR贷款基础利率,宏观经济/国内宏观/利率数据/LPR贷款基础利率,宏观经济/国内宏观/利率数据/LPR贷款基础利率,1,
libor,Libor利率,宏观经济/国内宏观/利率数据/Libor利率,宏观经济/国内宏观/利率数据/Libor利率,1,
hibor,Hibor利率,宏观经济/国内宏观/利率数据/Hibor利率,宏观经济/国内宏观/利率数据/Hibor利率,1,
wz_index,温州民间借贷利率,宏观经济/国内宏观/利率数据/温州民间借贷利率,宏观经济/国内宏观/利率数据/温州民间借贷利率,1,
gz_index,广州民间借贷利率,宏观经济/国内宏观/利率数据/广州民间借贷利率,宏观经济/国内宏观/利率数据/广州民间借贷利率,1,
cn_gdp,国内生产总值（GDP）,宏观经济/国内宏观/国民经济/国内生产总值（GDP）,宏观经济/国内宏观/国民经济/国内生产总值（GDP）,1,
cn_cpi,居民消费价格指数（CPI）,宏观经济/国内宏观/价格指数/居民消费价格指数（CPI）,宏观经济/国内宏观/价格指数/居民消费价格指数（CPI）,1,
cn_ppi,工业生产者出厂价格指数（PPI）,宏观经济/国内宏观/价格指数/工业生产者出厂价格指数（PPI）,宏观经济/国内宏观/价格指数/工业生产者出厂价格指数（PPI）,1,
cn_m,货币供应量（月）,宏观经济/国内宏观/金融/货币供应量,宏观经济/国内宏观/金融/货币供应量,1,
sf_month,社融增量（月度）,宏观经济/国内宏观/金融/社会融资,宏观经济/国内宏观/金融/社会融资,1,
cn_pmi,采购经理指数（PMI）,宏观经济/国内宏观/景气度/采购经理指数（PMI）,宏观经济/国内宏观/景气度/采购经理指数（PMI）,1,
us_tycr,国债收益率曲线利率,宏观经济/国际宏观/美国利率/国债收益率曲线利率,宏观经济/国际宏观/美国利率/国债收益率曲线利率,1,
us_trycr,国债实际收益率曲线利率,宏观经济/国际宏观/美国利率/国债实际收益率曲线利率,宏观经济/国际宏观/美国利率/国债实际收益率曲线利率,1,
us_tbr,短期国债利率,宏观经济/国际宏观/美国利率/短期国债利率,宏观经济/国际宏观/美国利率/短期国债利率,1,
us_tltr,国债长期利率,宏观经济/国际宏观/美国利率/国债长期利率,宏观经济/国际宏观/美国利率/国债长期利率,1,
us_trltr,国债长期利率平均值,宏观经济/国际宏观/美国利率/国债长期利率平均值,宏观经济/国际宏观/美国利率/国债长期利率平均值,1,
npr,国家政策库,大模型语料专题数据/国家政策库,大模型语料专题数据/国家政策库,1,
research_report,券商研究报告,大模型语料专题数据/券商研究报告,大模型语料专题数据/券商研究报告,1,
news,新闻快讯（短讯）,大模型语料专题数据/新闻快讯（短讯）,大模型语料专题数据/新闻快讯（短讯）,1,
major_news,新闻通讯（长篇）,大模型语料专题数据/新闻通讯（长篇）,大模型语料专题数据/新闻通讯（长篇）,1,
cctv_news,新闻联播文字稿,大模型语料专题数据/新闻联播文字稿,大模型语料专题数据/新闻联播文字稿,1,
anns_d,上市公司公告,大模型语料专题数据/上市公司公告,大模型语料专题数据/上市公司公告,1,
irm_qa_sh,上证e互动问答,大模型语料专题数据/上证e互动问答,大模型语料专题数据/上证e互动问答,1,
irm_qa_sz,深证易互动问答,大模型语料专题数据/深证易互动问答,大模型语料专题数据/深证易互动问答,1,
fund_sales_ratio,各渠道公募基金销售保有规模占比,财富管理/基金销售行业数据/各渠道公募基金销售保有规模占比,财富管理/基金销售行业数据/各渠道公募基金销售保有规模占比,1,
fund_sales_vol,销售机构公募基金销售保有规模,财富管理/基金销售行业数据/销售机构公募基金销售保有规模,财富管理/基金销售行业数据/销售机构公募基金销售保有规模,1,
